Team,Points,Wins,pl_wins,Losses,Tie,sim
David,1632.3600000000001,10,10,5,0,66
Barrett,1789.23,8,7,7,0,66
Eric,1615.9,7,6,8,0,66
Diaz,1682.87,6,6,9,0,66
German,1499,5,5,10,0,66
Brian,1554.42,3,3,12,0,66
Justin,1356.94,1,1,14,0,66
German,2292.21,13,12,2,0,67
Bobby,2236.06,13,12,2,0,67
PFinn,1839.71,8,8,7,0,67
Barrett,1819.08,8,7,7,0,67
Eric,1716.5,8,8,7,0,67
Diaz,1660.1399999999999,7,7,8,0,67
David,1629.8,7,7,8,0,67
Scott,1623.77,6,5,9,0,67
Brian,1620.27,4,4,11,0,67
Justin,1256.62,1,0,14,0,67
Bobby,2109.04,13,12,2,0,68
Barrett,1802.58,11,10,4,0,68
Scott,2056.17,10,10,5,0,68
PFinn,1846.82,10,9,5,0,68
David,1664.09,7,7,8,0,68
Brian,1662.94,6,6,9,0,68
Eric,1619.66,6,5,9,0,68
Diaz,1532.33,6,5,9,0,68
Justin,1373.04,3,3,12,0,68
German,1180.5,3,3,12,0,68
Scott,2127.99,14,13,1,0,69
German,1973.26,10,10,5,0,69
Bobby,1814.3500000000001,9,8,6,0,69
David,1689.12,9,9,6,0,69
PFinn,1897.8,8,7,7,0,69
Diaz,1737.04,8,8,7,0,69
Barrett,1763.74,7,6,8,0,69
Brian,1670.25,5,5,10,0,69
Eric,1496.07,3,3,12,0,69
Justin,1337.53,2,1,13,0,69
Bobby,2084.96,11,11,4,0,70
PFinn,1859.87,11,11,4,0,70
German,1927.82,10,9,5,0,70
Diaz,1714.6,10,9,5,0,70
Scott,1840.07,8,8,7,0,70
David,1684.23,8,7,7,0,70
Barrett,1734.61,7,7,8,0,70
Brian,1688.6,6,5,9,0,70
Eric,1441.5,3,3,12,0,70
Justin,1289.82,1,0,14,0,70
PFinn,1804.85,13,12,2,0,71
Bobby,2388.04,12,11,3,0,71
Scott,2054.02,11,10,4,0,71
David,1648.79,9,9,6,0,71
Barrett,1688.52,8,7,7,0,71
Eric,1532.93,7,6,8,0,71
Brian,1705.31,6,6,9,0,71
Diaz,1582.46,5,5,10,0,71
German,1498.15,3,3,12,0,71
Justin,1274.76,1,1,14,0,71
Bobby,2112.81,12,11,3,0,72
PFinn,1888.67,11,10,4,0,72
German,1965.25,10,10,5,0,72
David,1737.79,10,9,5,0,72
Diaz,1644.73,7,6,8,0,72
Scott,1631.9,7,7,8,0,72
Barrett,1785.78,6,6,9,0,72
Eric,1658.37,6,5,9,0,72
